Cemetery	בית עלמין
Tea Party Massacre	טבח מסיבת התה
Beyond Hearts and Question Marks	מעבר ללבבות וסימני שאלה
The Pride of Loch Ness	גאוותו של לוך-נס
Thirty Things That Taste Terrific On Toast	שלושים דברים בעלי טעם נהדר על טוסט
Modern Toenail Collector	אוסף גזירי ציפורניים מודרני
Collectable Toy Trucks	משאיות צעצוע לאספנים
The Caribbean on No Dollars A Day	טיול בקריביים בלי להוציא אפילו דולר ביום
Big Whoop: Unclaimed Bonanza or Myth?	א גרוייסע מציאה: אוצר שלא נלקח או מיתוס?
Anaesthetics For Deciduous Trees	חומרי הרדמה לעצים נשירים
Why People Shouldn't Write Trilogies	מדוע לא כדאי לאנשים לכתוב טרילוגיות
Why People Won't Read Trilogies	מדוע אנשים לא קוראים טרילוגיות
Why People Write Trilogies Anyway	מדוע אנשים כותבים טרילוגיות בכל זאת
Dessert Recipes for Tripe Lovers	מתכונים לקינוחים לאוהבי מעיים
Why You Shouldn't Worry About Ulcers	למה אין צורך לדאוג מכיבי קיבה
Giant Umbrellas and Other Bits of Art	מטריות גדולות ויצירות אמנות אחרות
Wedgies: Harmless Fun Or Sadistic Torture?	משיכת תחתונים: הנאה בלתי מזיקה או עינוי סדיסטי?
Vegetables Children Will Eat	ירקות שילדים יאכלו
Popular Spectator Sports	ענפי ספורט מרובי צופים פופולריים
101 Vices	101 חטאים
Thirty Non-Musical Uses For Your Violin	שלושים שימושים לא מוזיקליים לכינור שלך
Things You Can Catch By Reading a Library Book	דברים שאתה יכול להידבק בהם בקריאת ספר ספרייה
Patches	טלאים
Warm All Year Round	חם כל השנה
Gross Things to Say at Parties	דברים דוחים לומר במסיבות
Is It Soup Yet?	זה כבר נחשב מרק?
Anywhere But My Room	כל מקום חוץ מהחדר שלי
Impact of Yellow on Small Children	השפעה של צהוב על ילדים קטנים
Living in Lime	החיים בתוך לימון
Dancing On Three Legs	ריקוד על שלוש רגליים
The Misunderstood Pet	חיית המחמד הבלתי מובנת
Opulence as a Social Art	עושר כאמנות חברתית
Meet Mr. Tiger	תכיר את אדון נמר
Sniffing the Cork	הסנפת הפקק
Out On a Plank	ללכת על קרש דק
Life Cycle of the Shrew	מעגל החיים של החדף
Hey You Kids, Get Off of My Lawn	היי ילדים, רדו מהדשא שלי
Pirate's Guide to Caribbean Yacht Clubs	מדריך שודד הים למועדוני יאכטות בקאריביים
All You Need is the Cap	כל מה שאתה צריך זה המכסה
The Yak is Slow But the Earth Is Patient	היאק איטי אבל כדור הארץ סבלני
The Yearn to Yawn	הסיפוק שבפיהוק
Interview With A Snowman	ראיון עם איש שלג
Feh, and Other Useful Terms	נו, ומונחים שימושיים אחרים
Yodeling from the Top of the Lungs	שירת יודל במלוא הריאות
Not Quite Really Pudding	עדיין לא ממש פודינג
At the End of the Rope	בסוף החבל
Bouncing and Behaving	ניתור ונימוסין
Spinning at the End of a String	סחרור בקצה החוט
Pirates of the Pleistocene	שודדי הים של עידן הפלייסטוקן
Zipper Theory	תיאוריית הרוכסן
The Most Beautiful Element	היסוד היפהפה ביותר
Just one of the Primates	פשוט אחד מהפרימטים
Zoo Animals More Intelligent Than Humans	חיות בגן חיות שהן יותר חכמות מבני אדם
1001 Pirate Songs, a Book You Shouldn't Have	1001 שירי שודדי ים, ספר שלא כדאי שיהיה לך
Guybrush Threepwood	ברנשצבע כפיסדבק
Captain Dread	קפטן טלטלה
Herman Toothrot	הרמן שנאלח
221B Baker Street	רחוב בייקר 221 ב
10 Downing Street	רחוב דאונינג 10
1060 West Addison	רחוב ווסט אדיסון 1060
1600 Pennsylvania Avenue	שדרות פנסילבניה 1600
Age: 21	גיל: 21
Consultant	יועץ
Free lance	פרילנסר
Unemployed	מובטל
Pirate	שודד ים
	
Book ID is \xFF\x04\x00\x40	המזהה של הספר הוא \xFF\x04\x00\x40
The cover says^	על הכריכה כתוב^
`Zelda Carbuncle Tells All`	'זלדה פרונקל מספרת הכל'
`Animatronics`	'אנימטרוניקס'
`Under the Surface`	'מתחת לפני השטח'
`X Never Marks the Spot`	'איקס אף פעם לא מסמן את המיקום'
`Vagueness as an Art Form`	'ערפול כצורת אומנות'
`Idealism or Surrealism?`	'אידאליזם או סוריאליזם?'
`Beverages for Everyone`	'משקאות לכולם'
`Both Hands Empty`	'שתי הידיים ריקות'
`Both Hands Moving`	'שתי הידיים זזות'
`Both Heads Empty`	'שני הראשים ריקים'
`A Fistful of Barnacles`	'מלוא החופן ספחות'
`Lick the Silver Spoon`	'לקק את כפית הכסף'
`Me and Blackbeard`	'אני ושחורזקן'
`The Time I Blew Up LeChuck`	'הפעם שבא פוצצתי את לה-צ'אק'
`Yikes!`	'אמאל'ה!'
`Unusual Birthmarks`	'סימני-לידה בלתי רגילים'
`Breakfast at Meathook's`	'ארוחת בוקר אצל בשרקרס'
`How to Make Friends and Influence People`	'כיצד תרכוש ידידים והשפעה'
`How to Serve Your Fellow Man`	'כיצד לשרת את בני מינך'
`Guide to Cheeses of the World`	'המדריך לגבינות העולם'
`The Sinister Beast Under the Bed`	'המפלצת הזדונית מתחת למיטה'
`Treasury of Pirate Children's Stories`	'אוצר של סיפורי שודדי ים לילדים'
`Alfredo and Bill's Excellent Adventure`	'ההרפתקה המצוינת של אלפרדו וביל'
`Damn the Human Torpedo`	'לעזאזל עם הטורפדו האנושי'
`Great Expectorations`	'יריקות נהדרות'
`Junk, Junk, and More Junk`	'זבל, זבל, ועוד זבל'
`Noteworthy Pirate Foods`	'אוכל של שודדי ים שכדאי להכיר'
`Viscous Fluids You Can Make at Home`	'נוזלים צמיגים שאפשר להכין בבית'
`Crochet Eyepatches for Fun and Profit`	'סריגה של רטיות לכיף ולרווח'
`The Code in My Nose`	'הסיסמה באף שלי'
`Great Shipwrecks of Our Century`	'הספינות הטרופות הטובות של המאה'
`Facinating Facts About Scurvy`	'עובדות מרתקות על מחלת הצפדינה'
`Shipboard Diseases`	'מחלות ים'
`Dog English Dictionary`	'מילון כלבי-עברי'
`Preparing for the Pirate Aptitude Test`	'ספר הכנה למבחן הכושר לשודד הים'
`Quiet on the Set`	'שקט על הסט'
`Tomato Worms`	'תולעי העגבניה'
`Origins of Pirate Words`	'מקורות מילות שודדי הים'
`Summer Swashbuckling Fashions`	'אופנת הקיץ להרפתקאות נועזות'
`E Ticket`	'נים מוסים'
`Five More Than I Needed`	'חמש יותר ממה שהייתי צריך'
`Hedgehog Days`	'ימי הקיפוד'
`Not So Much as a Doubloon`	'אפילו לא דובלון'
`Very Very Short Stories`	'סיפורים מאוד מאוד קצרים'
`Easy Ways to Make Money`	'דרכים קלות לעשות כסף'
`Big Book of Fish`	'ספר הדגים הגדול'
`Limpet Fishing: The Lost Art`	'דיג עלוקות: האומנות האבודה'
`I Married A Muenster`	התחתנתי עם גיבן'
`Life-Size and Larger`	'גודל אמיתי ויותר גדול'
`Rats as a Protein Source`	'עכברושים כמקור חלבון'
`Hal Barwood on Monkey 2`	'האל ברווד בקופים 2'
`Fan-Tan Fanatic`	'משוגע על שיזוף מעריצים'
`Kings of Shuffleboard`	'מלכי משחק הדיסקיות'
`My Mother the Cart`	'אימי עגלת הקניות'
`How to Make a Jackalope`	'איך להכין ג'קאלופ'
`Properties of the Elliptic Hyperboloid`	'הרכוש של ההיפרבולואיד האליפטי'
`When I Blew Up LeChuck`	'כשפוצצתי את לה-צ'אק'
`Where I Blew Up LeChuck`	'היכן שפוצצתי את לה-צ'אק'
`Why I Blew Up LeChuck`	'למה פוצצתי את לה-צ'אק'
`The Shirt Off My Back`	'החוצה שלבשתי'
`Popular Punishments for Grave Robbers`	'עונשים פופולריים לשודדי קברים'
`I Am Blackbeard's Liver`	'אני הכבד של שחורזקן'
`Careful With Those Cannonballs!`	'זהירות עם כדורי התותח האלו!'
`Rememberance of Molly`	'זכרה של מולי'
`Bad Puns For Bad Pirates`	'משחקי מילים גרועים לשודדי ים גרועים'
`Dumb Pirate Jokes`	'בדיחות שודדי ים מטופשות'
`So You're Going To Be Executed^`	'אז הולכים להוציא אותך להורג^'
`Pirates' Favorite Ice Cream Flavors`	'טעמי הגלידה האהובים על שודדי ים'
`Tikis of the South Pacific`	'פסלוני טיקי של דרום האוקיינוס השקט'
`Igloo Construction Made Easy`	'בניית איגלו בקלות'
`The New Tax Laws`	'חוקי המס החדשים'
`How to Give Great Indian Burns`	'איך לעשות צמידים אינדיאנים נהדרים'
`The Complex Complex`	'התסביך המסובך'
`The Story of Jelly`	'הסיפור של ג'לי'
`The Story of Jello`	'הסיפור של ג'לו'
`Our Spineless Cousins`	'בני דודנו חסרי עמוד השדרה'
`Kangaroo Court`	'בית משפט מגוחך'
`Cow-Tipping Enthusiast`	'מפיל פרות נלהב'
`My Karma Just Ran Over Your Dogma`	'מר קארמה דרס הרגע את הדוגמה שלך'
`Keelhauling: Methodology and Practice`	'גרירה מתחת לספינה: שיטה ונוהג'
`The Little Organ That Could`	'האורגן הקטן שיכל'
`Kleptomania`	'קלפטומניה'
`Hip Lingo for Pirates`	'עגה מגניבה לשודדי ים'
`Louse Ranching For Fun and Profit`	'גידול טפילים לכיף ולרווח'
`Afternoon at Meathook's`	'אחר הצהריים אצל בשרקרס'
`Rock and Raunch`	'רוק וגסות רוח'
`Damp Damsels of the Deep`	'עלמות עלומות של המעמקים'
`The Sailor and the Sea Cow`	'המלח ופרת הים'
`Theory and Practice of Bone Breakage`	'שבירת עצמות - תיאוריה ופרקטיקה'
`Cubic Lemniscate Formulas`	'נוסחאות למניסקטה ריבועיות'
`The Steath Sailer: Why It Won't Sail`	'מפרשית השיט: למה היא לא שטה'
`Make Easy Money at Home`	'איך לעשות כסף קל מהבית'
`The Majesty of the Sierras`	'המלכות של הרי הסיירה'
`Elvis Lives`	'אלוויס חי'
`Great Rock Musicians of the Renaissance`	'מוזיקאי הרוק הגדולים של תקופה הרנסנס'
`Grammy Award Winners of the Renaissance`	'זוכי פרס הגראמי של תקופה הרנסנס'
`Volume First`	'כרך ראשון'
`World's Worst Pirate Songs`	'שירי שודדי הים האיומים ביותר בעולם'
`Xylophone For Beginners`	'קסילופון למתחילים'
`How Much Wood?`	'כמה עץ?'
`Feeling Good About Narcissism`	'להרגיש טוב עם נרקסיזם'
`Confessions of a Narcoleptic`	'וידויים של נרקולפטי'
`Dynanetics by L. Ron Gilbert`	'דיננטיקה מאת ל. רון גילברט'
`Sounds From Under the Bed`	'קולות ממתחת למיטה'
`A Definitive Guide to Cartoon Noises`	'המדריך השלם לקולות של סרטים מצוירים'
`How to Give Great Noogies`	'איך לתת שפשופי ראש מעולים'
`A White Picket Fence`	'גדר עץ לבנה'
`Honk If You Have To`	'צפור אם אתה חייב'
`Soda Fountains of My Youth`	'מזרקת סודה של ילדותי'
`Numerology for Beginners`	'נומרולוגיה למתחילים'
`Use of Nylon by Pirates`	'שימושים לניילון בידי שודדי ים'
`More of Me to Love`	'יותר ממני לאוהב'
`&$*#!`	'&$*#!'
`Favorite Gumbo Recipes`	'מתכוני גמבו אהובים'
`Scourge of the Pizza`	'נגע הפיצה'
`There's Always A Rainbow`	'תמיד יש קשת בענן'
`Our Hairy Cousins`	'בני דודינו השעירים'
`Paper Buffalo`	'באפלו מנייר'
`Hear the Sound of My Feet Talking`	'הקשב לקול רגליי המדברות'
`Deliberance`	'גאולה'
`Rastafarian Philosophy`	'פילוסופיה רסטאפרית'
`All about Pillaging`	'הכל על ביזה'
`Masters of Pillaging`	'מומחי הביזה'
`Pirating Primer`	'תקציר על שוד ימי'
`Three Sheets to the Wind`	'שלושה סדינים לרוח'
`Famous Pirate Quotations`	'ציטוטי שודדי ים מפורסמים'
`The Joy of Hex`	'ההנאה שבקללה'
`Amour's Agonizing Adieu`	'הסיומת המייסרת של האהבה'
`Desire's Distasteful Denouement`	'הסיום סר הטעם של החשק'
`Fascination's Final Frenzy`	'הטירוף הסופי של הריתוק'
`Love's Lingering Lassitude`	'התשישות המתמשכת של האהבה'
`Next To Nothing`	'קרוב לכלום'
`Passion's Persistent Presence`	'הנוכחות המתמידה של התשוקה'
`Romance's Wretched Residue`	'השארית הבזויה של הרומנטיקה'
`Sin's Sordid Swan Song`	'שירת הברבור השפלה של החטא'
`Yearning's Yellowing Yesterdays`	'ערגה לעבר המצהיב'
`If I Only Had A Drain`	'אם רק הייתה לי צנרת'
`Safe Sailing`	'שיט בטוח'
`Lox and Locks`	'נעליים ומנעולים'
`Scabb Island History`	'ההיסטוריה של אי הגלד'
`Pirates Who Love Too Much`	'שודדי ים שאוהבים יותר מדי'
`Not Eating People and Feeling Good About It`	'לא לאכול אנשים ולהרגיש טוב לגבי זה'
